source,target,race,year
Douglas Silva,Cornelius Kaup,ARIRANG HILL,2018
Douglas Silva,Bye 6,ARIRANG HILL,2018
Douglas Silva,Bye 8,ARIRANG HILL,2018
Cornelius Kaup,Bye 6,ARIRANG HILL,2018
Cornelius Kaup,Bye 8,ARIRANG HILL,2018
Bye 6,Bye 8,ARIRANG HILL,2018
Aron Lu,Kyung Hun Kim,ARIRANG HILL,2018
Aron Lu,Victor Hyungkwon Ha,ARIRANG HILL,2018
Aron Lu,Bye 7,ARIRANG HILL,2018
Kyung Hun Kim,Victor Hyungkwon Ha,ARIRANG HILL,2018
Kyung Hun Kim,Bye 7,ARIRANG HILL,2018
Victor Hyungkwon Ha,Bye 7,ARIRANG HILL,2018
Douglas Silva,Cornelius Kaup,ARIRANG HILL,2018
Douglas Silva,Aron Lu,ARIRANG HILL,2018
Douglas Silva,Kyung Hun Kim,ARIRANG HILL,2018
Cornelius Kaup,Aron Lu,ARIRANG HILL,2018
Cornelius Kaup,Kyung Hun Kim,ARIRANG HILL,2018
Aron Lu,Kyung Hun Kim,ARIRANG HILL,2018
Bye 6,Bye 8,ARIRANG HILL,2018
Bye 6,Victor Hyungkwon Ha,ARIRANG HILL,2018
Bye 6,Bye 7,ARIRANG HILL,2018
Bye 8,Victor Hyungkwon Ha,ARIRANG HILL,2018
Bye 8,Bye 7,ARIRANG HILL,2018
Victor Hyungkwon Ha,Bye 7,ARIRANG HILL,2018
Emily Pross,Rachel Bruskoff,ARIRANG HILL,2018
Emily Pross,Dayeon Wee,ARIRANG HILL,2018
Emily Pross,Bye 16,ARIRANG HILL,2018
Rachel Bruskoff,Dayeon Wee,ARIRANG HILL,2018
Rachel Bruskoff,Bye 16,ARIRANG HILL,2018
Dayeon Wee,Bye 16,ARIRANG HILL,2018
Sabrina Ambrosi,Dina Miss,ARIRANG HILL,2018
Sabrina Ambrosi,Marie B.Wester,ARIRANG HILL,2018
Sabrina Ambrosi,Megara Hsu,ARIRANG HILL,2018
Dina Miss,Marie B.Wester,ARIRANG HILL,2018
Dina Miss,Megara Hsu,ARIRANG HILL,2018
Marie B.Wester,Megara Hsu,ARIRANG HILL,2018
Kaila Dasol Jung,Elissa Mah,ARIRANG HILL,2018
Kaila Dasol Jung,Anna Pixner,ARIRANG HILL,2018
Kaila Dasol Jung,Bye 14,ARIRANG HILL,2018
Elissa Mah,Anna Pixner,ARIRANG HILL,2018
Elissa Mah,Bye 14,ARIRANG HILL,2018
Anna Pixner,Bye 14,ARIRANG HILL,2018
Jennifer Schauerte,Lyde Begue,ARIRANG HILL,2018
Jennifer Schauerte,Sylvia Mena Cortés,ARIRANG HILL,2018
Jennifer Schauerte,Bye 15,ARIRANG HILL,2018
Lyde Begue,Sylvia Mena Cortés,ARIRANG HILL,2018
Lyde Begue,Bye 15,ARIRANG HILL,2018
Sylvia Mena Cortés,Bye 15,ARIRANG HILL,2018
Emily Pross,Rachel Bruskoff,ARIRANG HILL,2018
Emily Pross,Sabrina Ambrosi,ARIRANG HILL,2018
Emily Pross,Dina Miss,ARIRANG HILL,2018
Rachel Bruskoff,Sabrina Ambrosi,ARIRANG HILL,2018
Rachel Bruskoff,Dina Miss,ARIRANG HILL,2018
Sabrina Ambrosi,Dina Miss,ARIRANG HILL,2018
Elissa Mah,Kaila Dasol Jung,ARIRANG HILL,2018
Elissa Mah,Lyde Begue,ARIRANG HILL,2018
Elissa Mah,Jennifer Schauerte,ARIRANG HILL,2018
Kaila Dasol Jung,Lyde Begue,ARIRANG HILL,2018
Kaila Dasol Jung,Jennifer Schauerte,ARIRANG HILL,2018
Lyde Begue,Jennifer Schauerte,ARIRANG HILL,2018
Emily Pross,Sabrina Ambrosi,ARIRANG HILL,2018
Emily Pross,Lyde Begue,ARIRANG HILL,2018
Emily Pross,Jennifer Schauerte,ARIRANG HILL,2018
Sabrina Ambrosi,Lyde Begue,ARIRANG HILL,2018
Sabrina Ambrosi,Jennifer Schauerte,ARIRANG HILL,2018
Lyde Begue,Jennifer Schauerte,ARIRANG HILL,2018
Dina Miss,Rachel Bruskoff,ARIRANG HILL,2018
Dina Miss,Kaila Dasol Jung,ARIRANG HILL,2018
Dina Miss,Elissa Mah,ARIRANG HILL,2018
Rachel Bruskoff,Kaila Dasol Jung,ARIRANG HILL,2018
Rachel Bruskoff,Elissa Mah,ARIRANG HILL,2018
Kaila Dasol Jung,Elissa Mah,ARIRANG HILL,2018
Kalil Hammouri,Sunghoon Choi,ARIRANG HILL,2018
Kalil Hammouri,Zhizhen Ren,ARIRANG HILL,2018
Kalil Hammouri,Bye 64,ARIRANG HILL,2018
Sunghoon Choi,Zhizhen Ren,ARIRANG HILL,2018
Sunghoon Choi,Bye 64,ARIRANG HILL,2018
Zhizhen Ren,Bye 64,ARIRANG HILL,2018
Justin Rouleau,Nick Dantanio,ARIRANG HILL,2018
Justin Rouleau,Light Liu,ARIRANG HILL,2018
Justin Rouleau,Marie B.Wester,ARIRANG HILL,2018
Nick Dantanio,Light Liu,ARIRANG HILL,2018
Nick Dantanio,Marie B.Wester,ARIRANG HILL,2018
Light Liu,Marie B.Wester,ARIRANG HILL,2018
Andrew Atchison,Sabrina Ambrosi,ARIRANG HILL,2018
Andrew Atchison,Devlyn Dorfer,ARIRANG HILL,2018
Andrew Atchison,Lee Jungwoo,ARIRANG HILL,2018
Sabrina Ambrosi,Devlyn Dorfer,ARIRANG HILL,2018
Sabrina Ambrosi,Lee Jungwoo,ARIRANG HILL,2018
Devlyn Dorfer,Lee Jungwoo,ARIRANG HILL,2018
Morgan Owens,Jordan Hall,ARIRANG HILL,2018
Morgan Owens,Mason Shin,ARIRANG HILL,2018
Morgan Owens,Bye 57,ARIRANG HILL,2018
Jordan Hall,Mason Shin,ARIRANG HILL,2018
Jordan Hall,Bye 57,ARIRANG HILL,2018
Mason Shin,Bye 57,ARIRANG HILL,2018
Lucas Poulain,Aleix Gallimo,ARIRANG HILL,2018
Lucas Poulain,Chih-An Lin,ARIRANG HILL,2018
Lucas Poulain,Bye 60,ARIRANG HILL,2018
Aleix Gallimo,Chih-An Lin,ARIRANG HILL,2018
Aleix Gallimo,Bye 60,ARIRANG HILL,2018
Chih-An Lin,Bye 60,ARIRANG HILL,2018
Riley Harris,Rachel Bruskoff,ARIRANG HILL,2018
Riley Harris,Scott Stone,ARIRANG HILL,2018
Riley Harris,Shi Jie Lin,ARIRANG HILL,2018
Rachel Bruskoff,Scott Stone,ARIRANG HILL,2018
Rachel Bruskoff,Shi Jie Lin,ARIRANG HILL,2018
Scott Stone,Shi Jie Lin,ARIRANG HILL,2018
Calvin Staub,Sungji Ahn,ARIRANG HILL,2018
Calvin Staub,Nargae Kang,ARIRANG HILL,2018
Calvin Staub,Arcadio Maquiling,ARIRANG HILL,2018
Sungji Ahn,Nargae Kang,ARIRANG HILL,2018
Sungji Ahn,Arcadio Maquiling,ARIRANG HILL,2018
Nargae Kang,Arcadio Maquiling,ARIRANG HILL,2018
Mitch Thompson,Jennifer Schauerte,ARIRANG HILL,2018
Mitch Thompson,Yaoting Ho,ARIRANG HILL,2018
Mitch Thompson,Bye 61,ARIRANG HILL,2018
Jennifer Schauerte,Yaoting Ho,ARIRANG HILL,2018
Jennifer Schauerte,Bye 61,ARIRANG HILL,2018
Yaoting Ho,Bye 61,ARIRANG HILL,2018
Zak Maytum,Kyle Wester,ARIRANG HILL,2018
