id,country
Douglas Silva,BR
Cornelius Kaup,DE
Bye 6,#N/A
Bye 8,#N/A
Aron Lu,TW
Kyung Hun Kim,KR
Victor Hyungkwon Ha,KR
Bye 7,#N/A
Emily Pross,US
Rachel Bruskoff,#N/A
Dayeon Wee,KR
Bye 16,#N/A
Sabrina Ambrosi,AR 
Dina Miss,DE
Marie B.Wester,#N/A
Megara Hsu,TW
Kaila Dasol Jung,#N/A
Elissa Mah,NZ
Anna Pixner,AT
Bye 14,#N/A
Jennifer Schauerte,DE
Lyde Begue,FR
Sylvia Mena Cortés,#N/A
Bye 15,#N/A
Kalil Hammouri,US
Sunghoon Choi,CA
Zhizhen Ren,#N/A
Bye 64,#N/A
Justin Rouleau,US
Nick Dantanio,#N/A
Light Liu,TW
Andrew Atchison,US
Devlyn Dorfer,CA
Lee Jungwoo,KR
Morgan Owens,US
Jordan Hall,AU
Mason Shin,US
Bye 57,#N/A
Lucas Poulain,FR
Aleix Gallimo,#N/A
Chih-An Lin,TW
Bye 60,#N/A
Riley Harris,#N/A
Scott Stone,CL CL
Shi Jie Lin,#N/A
Calvin Staub,US
Sungji Ahn,KR
Nargae Kang,#N/A
Arcadio Maquiling,PH
Mitch Thompson,AU
Yaoting Ho,#N/A
Bye 61,#N/A
Zak Maytum,#N/A
Kyle Wester,US
Han Li Chiou,TW
Bye 62,#N/A
Adam Westfall,#N/A
Yao Kuang Yeh,#N/A
Daniel Engel,US
Nelson Cheng,TW
Siyu Zhao,CN
Diego Poncelet,ES
Mark Meidinger,US
Yao-Kuo Chen,#N/A
Bye 59,#N/A
Harry Clarke,AU
Bye 58,#N/A
Tim White,AU
Wing Tsun Thomas Ng,#N/A
Wei She,#N/A
Jzann Wei Tang,TW
Jaydon Howarth,AU
Mack Geddes,#N/A
Nori Tamura,#N/A
Allison Chu,#N/A
Tiago Mohr,BR
Santiago Espeche,AR 
Yukuan Tsai,#N/A
Bye 63,#N/A
Daina Banks,US
Carlos Paixão,BR
Josh Evans,#N/A
Joao Pedro Laporte,BR
Jackson Shapiera,AU
Brennan Bast,AU
Tristan Cardillo,CH
Chase Hiller,US
Thiago Gomes Lessa,BR
Nicolas Desmarais,CA
Jeff Molongoski,#N/A
Sean Graves,US
Pascal Jean,CA
Bye 5,#N/A
Nicholas Broms,US
Jacsen Kutik,US
Matthew Antrum,US
Bye 4,#N/A
Ashley Winecoff,US
Cassandra Duchesne,CA
Kent Fletcher,US
Ryan Keenan,US
Samuel Blais,CA
Ryder Molongoski,US
Edward Kiefer,US
Matthew King,CA
Jesse Fabrizio,US
Campbell Zachara,US
Simon Snethen,US
Norman Plante,US
Austin Manning,US
Chris Castro,US
Charles Ouimet,CA
Tristan Taillon,CA
Jonathan Pelletier,#N/A
Ed Garner,US
Ryan LeSueur,US
Liam Shaughness,#N/A
William Beaulieu,#N/A
Kais Salam,US
Tyler Kaminski,US
Jesse Martin,CA
Alex Parent,#N/A
Marcus Giovannone,US
Micaiah Harness,US
Jordan Bryan,US
Mathieu Gagnon,CA
Leunam Segura,DO
Aidan Sullivan,#N/A
Stephan Vaast,US
Frederic Laberge,CA
Ryder Hathaway,US
Chris Proto,US
William Royce,#N/A
Chris Bustamante,US
Jeremy Ross,US
Austin Pedroni,US
Nick D'Bk,US
Lucien Topart,CA
Louis-Philippe Déry,#N/A
Jonathan Sheckler,US
Sam Levine,US
Vince Vazquez,PH
Natalie Burns,IE
Sebastian Chanco,PH
Jan Bryan Figueroa,PH
Eden Mcdonogh,AU
Max Vickers,US
Caloy Sambrano,PH
Raphael Duke,#N/A
Ronald Sarinas,PH
Jaime de Lange,PH
Fifer Figueroa,MX
Ayumi Oride,JP
Keige Ando,PH
Sidney Licop,AF
Peter Fritz Siason,PH
Bye 12,#N/A
Abigal Viloria,#N/A
Bye 13,#N/A
Bye 10,#N/A
Bye 11,#N/A
Abigail Viloria,#N/A
Ling Lee,MY
Mengli Wang,CN
Joaquin Romero,PH
Andrei Ybañez,#N/A
Miko Montifar,PH
Earl Licop,PH
John Tongco,PH
Tito Sumicad,PH
Tomas Romualdez,PH
Duke Raphael Pandeagua,AF
Rodri Arthem Alvaro,PH
Oscar Rodriguez Escoin,ES
Harper Knight,US
Cole Trotta,US
Stefano Barbizzi,IT
Patrick Lombardi,IT
Bye 1,#N/A
Tim Scott,AU
Bye 3,#N/A
Marc Escoda,ES
Bye 2,#N/A
Daniel Minsky,US
Anthony Cafiso,#N/A
Max Heaton,AU
Giorgio Garino,#N/A
Giulia Bottazzin,IT
Marcus Aldinucci,IT
Raphael Therrien,#N/A
Jonathan Fletcher,#N/A
Johnny Knight,US
Carlos Paixao,#N/A
Kavon Zamanian,US
Kevin Scott Toledo Guevara,PE
Lillian Barouillet,FR
Jules Hornung,CH
Arthur Spuhler,#N/A
Vaek Cvancara,#N/A
Pearse d'Arcy,IE
Lars Troutwine,US
Gaetan Ricord,FR
Brandon DesJarlais,US
Matthew Noseworthy,CA
Pedro Oliver,ES
Alex Dehmel,#N/A
Davis Lanham,AU
Yanis Markarian,#N/A
Nicolas Robert,CH
Pete Connolly,GB
Javier Táboas Rico,#N/A
Fabio Minnig,CH
Patrik Orlainsky,AT
Caden Castellini,US
Patrick Walker,AU
Jan Brebeck,DE
Oliver Moor,CH
Germain Dageville,FR
Ian Freire,BR
Jakub Rod,CZ
Christoph Schmalz,DE
Dylan Rumo,CH
Janto Just,DE
Dexter Manning,CA
Alex Charleson,#N/A
Pavel Zajic,CZ
Zak Mills-Goodwin,#N/A
Justin Vivian,US
Dave Süess,CH
Cam Brickenden,CA
Maxime Cordier,FR
Sean Woo,HK
Henco Petrus Vermeulen,ZA
Marie Macherel,CH
John Fletcher,US
Gerrit Geiger,DE
Raul Perez Gallego,#N/A
Tamara Prader,CH
Lukas Wünsche,DE
Christian Weiß,#N/A
Michaël Pellicer,FR
Philip Renners,DE
Damian Derek Blanquer Gelez,ES
Andre Leonardo Preto,#N/A
Jakub Vít,#N/A
Marnix Zimmerman,NL
Grégoire Schwab,#N/A
Raphael Waser,#N/A
Bohumil efrna,#N/A
Adam Klima,#N/A
Antoine Carlotti,#N/A
Lukas Pleva,CZ
Félix Bégaud,#N/A
Joris Zimmerman,NL
Giloume van der Walt,ZA
Gemma Holland,AU
Duch 32,#N/A
Susan Heine,DE
Alejandra Cárdenas Gutiérrez,#N/A
Helene Folliard,FR
Maria Esyutina,RU
Teresa Gillcrist,US
Livia Waldburger,CH
Katie Edwards,GB
Léa Richard,#N/A
Jasmine Ngaparu,AU
Duch 29,#N/A
Lisa Peters,NL
Annina Brühwiler,#N/A
Duch 30,#N/A
Anne Poursin,#N/A
Grace Wong,NZ
Valerie Vitousova,CZ
Mina Nornes Westli,NO
Marjorie Romeo,FR
Feiyane Ruegg,CH
Mariana Machacna,#N/A
Duch 31,#N/A
Anaël Lecomte,#N/A
Maxwell Kaye,CA
Julien Maillard,CH
Angel Aparicio,#N/A
Sarunas Rasalas,LT
Julian Sherman,AU
Marek Vanourek,CZ
Vojtech Zacek,#N/A
Nawin Thiry,FR
Jaime de Cardenas,ES
Stepan Krukhmalev,RU
Christopher Antrum,US
Marvin Müller,DE
Nevio Mainardi,CH
Alix Papoutsos,#N/A
Pelayo Ramos,ES
Arturo Chaves,#N/A
Olav Øye,NO
Luca Bardino,CH
Dmitriy Tarasov,RU
Janosch Ber Müller,DE
Nosso Role Jonny k. Yednak,#N/A
Ayoze Martin Perez,#N/A
Piotr Duma,#N/A
Ivan Borzev,RU
Cristiano Borges de Araújo,#N/A
E Chan,HK
Garret Smith,US
Njaal Tangye,NO
Victor Van Audenrode,BE
David Ristic,#N/A
Edoardo Barbi,IT
Guido Cipolla,IT
Andre Dante Olmedo Talavera,#N/A
Bryce Edwards,#N/A
Elia Martinalli,IT
Menelik Rimondi,FR
Remy Mialon,#N/A
Isaac Woo,HK
Joey Olden,#N/A
Vil Yusupov,RU
Jan-Petter Hammersland,NO
Martí Font,#N/A
Ian Coggan,AU
Jack Mulholland,AU
Nicolas Dell'oro,IT
Jasper D'Haene,BE
Andrea Moreni,#N/A
Ambroise Trauet,#N/A
Bernardo Iandelli,#N/A
Vincent Bapst,CH
Eldar Fernandez Cendejas,ES
Arno Long Tien,#N/A
Ali Nas,#N/A
Sawyer Kulman,US
Alfred Cano Rivas,#N/A
Florent Carles,FR
Loïc Egido,CH
Nick Greentree,AU
Eduardo Falcão,BR
Matteo Rodinis,IT
Dale Smith,AU
Jack Brown,AU
Romain Solloso,CH
Robert Stehlik,CZ
Lev Seidl,CZ
Adrien Vu Van,#N/A
Caleb Grant,#N/A
Enric Umbert,ES
Hugo Gafner,CH
Thibaud Mamin,CH
Tristan Fort,FR
Alexandros Tzouganakis,#N/A
Guillaume Lefebvre,CH
Michael Ambrey,US
Michal Kyncl,CZ
Kahlil Thembisile Dexter-Jadwat,ZA
Andrea Orlando,#N/A
Carlos Schärer,#N/A
Ruben Schray,DE
Sander Viste Mehus,NO
Robbie Larock,BE
Jonas Stein,DE
Maxwell Rondeau,US
Grayson Baggiolini,US
Joris Strassburg,CH
Adam Suchomel,#N/A
Elton Vejux,FR
Gabriel Huerfano,CO
Carlos Eduardo Arias Moreno,#N/A
Harold Moreno,CO
Tranquilo 5,#N/A
Sirley Tabares Builes,CO
Monica Restrepo,CO
David Hernandez,CO
Guillermo Prado,CL CL
Camilo Mendes,#N/A
Viviana Andrea Lopez Herran,CO
Ernesto Esteban,AR 
Tranquilo 1,#N/A
Juan Jose Herrera,CO
Bryan Suares,#N/A
Jorge Eliecer Rincon,CO
Tranquilo 2,#N/A
Andres Rodriguez,#N/A
Juan Gonzalez,#N/A
Daniel Herbert,AU
Tranquilo 3,#N/A
Omar Perez,CO
Juan Camilo Campos Gutierrez,CO
Laura Vargas Echeverry,CO
Daniela Paoloa Rueda Rodriguez,#N/A
Yeison David Monsalve Tiriana,#N/A
Jhonny Alejandro Ospina Oviedo,CO
Lucas Andrade,#N/A
Correa Guillermo,#N/A
Sebastian Jarmillo,CO
Alex Javier Jaramillo,#N/A
Fabio Esteban Angarita,CO
Tranquilo 4,#N/A
Jonathan Saldarriaga,CO
Anderson Maldonado,#N/A
Juan Montoya,CO
Andres Sanchez Velez,#N/A
Juan Camilo Mejia,CO
Leon Sastre,BR
Luis Giron Garcia,EC
Felipe Marin,#N/A
Guillermo Carrasco,CL CL
Mariano Gentili,AR 
Jonathan Arturo Cuya Guardia,#N/A
Juan Duran,AR 
Anderson Anacona,#N/A
Juan Carlos Rincon,CO
Yan Bertinati,#N/A
Mauricio Rodriguez,CO
Nicolas Moreno,CO
Oscar Zambrano Paladines,EC
Luis Esteban Ladera Ovalles,VE
Michael Gabino Gomez Vera,EC
Esneider Osorno,CO
Juan Camilo Velez Gonzalias,CO
Juan Sebastian Zuluaga,#N/A
Juan Sebastian Rios,CO
Felix Feddersen,DE
Alejandro Arbelaez,#N/A
Maicol Stiver,CO
Lucas Londono Garcia,#N/A
Tranquila 2,#N/A
Tranquila 1,#N/A
Maicol Campos,#N/A
Jenny Schaurte,#N/A
Jenny Carabajo,#N/A
Laura Echeverry,#N/A
Joan Suarez Sanchez,#N/A
Andreson Maldanado,#N/A
Guillermo Correa,EC
Israel Zambrano,#N/A
Sebastian Jaramillo,#N/A
Alexander Cedeño,#N/A
Guillermo Carassco,#N/A
Jaime Garcia,EC
Michael Vera,#N/A
Jorge Hualpa,EC
Sebastian Rios,#N/A
Jesus Barberan,EC
Callum Mathieson,#N/A
Gustavo Campi,EC
Joan Sebastian Sanchez,#N/A
Oscar Paladines,#N/A
Jonathan Guardia,#N/A
Kevin Carcelen,EC
Jennifer Carabajo,EC
Mateo Sebastian Vasconez,#N/A
Piero Fernando Salazar,#N/A
Alexander Cedeno,#N/A
Willem Zentveld,#N/A
Luke Fisk,AU
Brad Pearson,#N/A
Adam Lewis,#N/A
Jamie Gwillim,AU
Connor Ferguson,AU
Jack Bain,AU
Robert McWhinnie,AU
Benjamin Hay,#N/A
Api Ihaia,#N/A
Daniel King,AU
Dane Hanna,CA
Jack Gooley,AU
Pepe Laporte,#N/A
Michael English,AU
Matthew Rae,AU
Lochlainn Darroch,AU
Nico Gallmann,CH
Jack Meyn,AU
Raine Kent,#N/A
Billy Aston,#N/A
Finn Grayswann,NZ
Shannon Tully,AU
Jackson Loney,AU
Neil Duddy,AU
Stephen Davis,NZ
Tyron Knight,AU
Sol Ewart,AU
Morgan Campbell,AU
Ryan Nicholls,AU
Miles Jones,AU
Finn Cantrill,AU
Riley Young,AU
Callum O'Callaghan,#N/A
Zane Bonser,#N/A
Finlay Wilson,AU
Anderson Maldonato,#N/A
Repechage 2nd place,#N/A
Izquierdo Marco,#N/A
Jorge Isaac Gonzales,#N/A
Benjamin Perez,#N/A
Wilder Mendoza,#N/A
Alvaro Garcia,#N/A
Luc Olazabal,US
Santiago Gonzalez Salaberry,AR 
Jonathan Cuya,#N/A
Giancarlo Colmenares,#N/A
Oscar Gutierrez,MX
Sebastian Zuluaga,CO
Lucas Costa,BR
Kevin Toledo,#N/A
Melissa Brogni,BR
Repechage Winner,#N/A
Josefa Ekdahl,#N/A
Tranquila 3,#N/A
Tranquila 7,#N/A
Silva Luana,#N/A
Winny Lujan,#N/A
Tranquila 4,#N/A
Zulema Chilge,PE
Tranquila 5,#N/A
Tranquila 6,#N/A
Miguel Angel Meguina,#N/A
Rafael Sabella,#N/A
Tranquilo 6,#N/A
Arturo Rodriguez,#N/A
Augusto Garcia,#N/A
Miguel Angel Sanchez Neira,CO
Tomas Tordos,#N/A
Carlos Mendoza,#N/A
Norman Orellana,PE
Norberto Jeremias,PE
Jorge Alfaro,#N/A
Tim Locke,US
Patrick Dougherty,US
Logan Bartsch,US
David Miller,US
Eric Fahrenthold,US
Dylan Skaggs,US
Philip Skaar,US
Jacob Prichard,US
Nick Gagliano,US
Kory Dahl,US
Adam Heironimus,#N/A
Dan Arney,#N/A
Bailey Winecoff,#N/A
Gunter Weihe,US
Jesse Greenberg,US
Kurt Lievenbruck,US
Chris Anders,#N/A
Joel Millman,US
Ed Kiefer,#N/A
Ian Ashby,US
Parker Vidmar,US
Ty McKinney,US
William Auerweck,#N/A
Arkadiusz Kowalski,#N/A
Stefan Popa,RO
Jan Martin von Bergen,CH
Chandler Benton,#N/A
Nicolas Rayner,AU
Stefan Strungaru,RO
Jasmijn Hanegraef,BE
Robert Stehlík,#N/A
Levi Mendoza,US
Paul Jeantet,FR
Vasek Cvancara,#N/A
Sebastian Hertler,DE
Alessio Damato,#N/A
