source ,target,race,year
Gabriel Huerfano,Carlos Eduardo Arias Moreno,LA LEONERA DH,2018
Gabriel Huerfano,Harold Moreno,LA LEONERA DH,2018
Gabriel Huerfano,Tranquilo 5,LA LEONERA DH,2018
Carlos Eduardo Arias Moreno,Harold Moreno,LA LEONERA DH,2018
Carlos Eduardo Arias Moreno,Tranquilo 5,LA LEONERA DH,2018
Harold Moreno,Tranquilo 5,LA LEONERA DH,2018
Sirley Tabares Builes,Monica Restrepo,LA LEONERA DH,2018
Sirley Tabares Builes,David Hernandez,LA LEONERA DH,2018
Sirley Tabares Builes,Guillermo Prado,LA LEONERA DH,2018
Monica Restrepo,David Hernandez,LA LEONERA DH,2018
Monica Restrepo,Guillermo Prado,LA LEONERA DH,2018
David Hernandez,Guillermo Prado,LA LEONERA DH,2018
Camilo Mendes,Viviana Andrea Lopez Herran,LA LEONERA DH,2018
Camilo Mendes,Ernesto Esteban,LA LEONERA DH,2018
Camilo Mendes,Tranquilo 1,LA LEONERA DH,2018
Viviana Andrea Lopez Herran,Ernesto Esteban,LA LEONERA DH,2018
Viviana Andrea Lopez Herran,Tranquilo 1,LA LEONERA DH,2018
Ernesto Esteban,Tranquilo 1,LA LEONERA DH,2018
Juan Jose Herrera,Bryan Suares,LA LEONERA DH,2018
Juan Jose Herrera,Jorge Eliecer Rincon,LA LEONERA DH,2018
Juan Jose Herrera,Tranquilo 2,LA LEONERA DH,2018
Bryan Suares,Jorge Eliecer Rincon,LA LEONERA DH,2018
Bryan Suares,Tranquilo 2,LA LEONERA DH,2018
Jorge Eliecer Rincon,Tranquilo 2,LA LEONERA DH,2018
Andres Rodriguez,Juan Gonzalez,LA LEONERA DH,2018
Andres Rodriguez,Daniel Herbert,LA LEONERA DH,2018
Andres Rodriguez,Tranquilo 3,LA LEONERA DH,2018
Juan Gonzalez,Daniel Herbert,LA LEONERA DH,2018
Juan Gonzalez,Tranquilo 3,LA LEONERA DH,2018
Daniel Herbert,Tranquilo 3,LA LEONERA DH,2018
Omar Perez,Juan Camilo Campos Gutierrez,LA LEONERA DH,2018
Omar Perez,Laura Vargas Echeverry,LA LEONERA DH,2018
Omar Perez,Daniela Paoloa Rueda Rodriguez,LA LEONERA DH,2018
Juan Camilo Campos Gutierrez,Laura Vargas Echeverry,LA LEONERA DH,2018
